id	Name	Amateur	Offices groups	Funding groups	Education groups	Education	Associations groups	Associations
68	Gandy, Joseph Michael	0		Private Sponsorship, Commissions / Cicerone	Art School, Training with Individual	Royal Academy Schools	British Artists Societies, Italian Societies	Royal Academy, Accademia di San Luca Rome
3	Gibbs, James	0	Public office/architectural	Commissions / Cicerone	Other Universities and Colleges, Training with Individual	Marischal College, Scots College	British Learned Societies	Society of Virtuosi, Royal Society
45	Gibson, George	0						
67	Golden, R.	0						
56	Groves, John Thomas	0	Public office/architectural				Italian Societies	Accademia del Disegno Florence
64	Hadfield, George	0		Scholarship, Commissions / Cicerone	Art School	Royal Academy Schools		
53	Hardwick, Thomas	0	Public office/architectural	Family / Self Commercial	Training with Individual, Art School	Royal Academy Schools	British Learned Societies, British Artists Societies	Society of Antiquaries, Architects' Club
43	Harrison, Thomas	0	Public office/architectural	Private Sponsorship			Italian Societies, British Learned Societies	Accademia di San Luca Rome, Royal Society
49	Henderson, John	0		Family / Self Commercial				
63	Hope, Thomas	0		Family / Self Wealth			British Learned Societies	Dilettanti, Society of Antiquaries, Royal Society
58	Johnson, Thomas	0			Art School, Training with Individual	Royal Academy Schools		
52	Keene, Theodosius	0					British Artists Societies	Society of Artists
4	Kent, William	0	Public office/architectural	Private Sponsorship, Commissions / Cicerone			Italian Societies	Accademia di San Luca Rome
41	Kirby, William	0	Public office/architectural	Private Sponsorship	Training with Individual		British Artists Societies	Society of Artists
46	Lewis, James	0	Public office/architectural				British Artists Societies	Architects' Club, Society of Artists
5	Lock, Daniel	0			Oxford, Cambridge and Inns of Court	Trinity College Cambridge		
23	Mills	0						
33	Mylne, Robert	0	Public office/architectural	Family / Self Commercial, Commissions / Cicerone			British Artists Societies, Italian Societies, British Learned Societies	Royal Society, Society of Civil Engineers, Architects' Club, Accademia di San Luca Rome, Accademia Clementina Bologna, Accademia del Disegno Florence
32	Mylne, William	0	Public office/architectural	Family / Self Commercial	Art School	École des Arts		
44	Myres	0	Public office/architectural					
28	Nasmyth, Alexander	0		Private Sponsorship	Art School	Trustees Academy Edinburgh		
39	Newton, William	0	Public office/architectural	Commissions / Cicerone	Training with Individual		British Artists Societies	Society of Artists, Free Society of Artists
42	Norris, Richard	0	Public office/architectural				British Artists Societies	Architects' Club, Free Society of Artists
47	O’Brien, Thomas	0					Italian Societies, British Artists Societies	Accademia del Disegno Florence, Accademia di Belle Arti Parma, Free Society of Artists
20	Paine, James (1717-1789)	0	Public office/architectural	Family / Self Commercial	Art School	St. Martin's Lane Academy	British Artists Societies	Society of Artists
21	Paine, James (1745-1829)	0	Public office/architectural	Family / Self Commercial	Art School	St. Martin's Lane Academy	British Artists Societies, British Learned Societies	Society of Antiquaries, Society of Artists, Architects' Club
9	Pearce, Edward Lovett	0	Army, Public office/architectural, Knight, MP	Family / Self Wealth, Commissions / Cicerone				
65	Playfair, James	0		Family / Self Commercial				
57	Reveley, Willey	0		Commissions / Cicerone	Training with Individual, Art School	Royal Academy Schools		
18	Revett, Nicholas	0		Family / Self Wealth	Training with Individual		British Learned Societies, British Artists Societies	Dilettanti, Architects' Club
37	Richardson, George	0		Commissions / Cicerone	Training with Individual		British Artists Societies	Society of Artists
30	Riou, Stephen	0	Army	Commissions / Cicerone	Other Universities and Colleges	University of Geneva	British Artists Societies	Free Society of Artists
66	Sandys, Francis	0		Private Sponsorship, Commissions / Cicerone			British Learned Societies	Society of Antiquaries
60	Saunders, George	0	Public office/architectural				British Learned Societies, British Artists Societies	Society of Antiquaries, Society of Artists, Royal Society
48	Shanahan, Michael	0		Private Sponsorship				
55	Soane, John	0	Public office/architectural, Knight	Scholarship, Commissions / Cicerone	Art School	Royal Academy Schools	British Learned Societies, British Artists Societies	Society of Antiquaries, Royal Society, Royal Academy
51	Stevens, Edward	0		Family / Self Commercial	Training with Individual		British Artists Societies, Italian Societies	Royal Academy, Accademia del Disegno Florence, Free Society of Artists, Society of Artists
19	Stuart, James 'Athenian'	0	Public office/architectural	Family / Self Commercial, Commissions / Cicerone	Training with Individual		British Artists Societies, British Learned Societies	Dilettanti, Royal Society, Society of Antiquaries, Free Society of Artists
1	Talman, John	0	Public office/architectural	Family / Self Wealth, Commissions / Cicerone	Other Universities and Colleges	Leiden University	British Learned Societies	Society of Antiquaries
69	Tatham, Charles Heathcote	0	Public office/architectural	Commissions / Cicerone, Private Sponsorship	Training with Individual		Italian Societies, British Artists Societies	Accademia Clementina Bologna, Accademia di San Luca Rome, Architects' Club
17	Taylor, Robert	0	Public office/architectural, Knight	Family / Self Commercial	Training with Individual			
11	Ware, Isaac	0	Public office/architectural	Private Sponsorship	Training with Individual			
22	Willis	0						
26	Wyatt, James	0	Public office/architectural	Private Sponsorship	Training with Individual		British Artists Societies	Architects' Club, Royal Academy
