EventID,Title,Release Year,Locations,Fun Facts,Production Company,Distributor,Director,Writer,Actors
30,Alcatraz,2012,Taylor St. from Broadway to Filbert,,Bonanza Productions Inc.,Warner Bros.,J.J. Abrams,Steven Lilien,"Sarah Jones, Elizabeth Sarnoff, Bryan Wynbrandt"
31,Alexander's Ragtime Band,1938,Cliff House (1090 Point Lobos Avenue),"In 1887, the Cliff House was severely damaged when the schooner Parallel, abandoned and loaded with dynamite, ran aground on the rocks below.",Twentieth Century Fox,Twentieth Century Fox,Henry King,Kathryn Scola,"Tyrone Power, Alice Faye"
32,Alexander's Ragtime Band,1938,"Fairmont Hotel (950 Mason Street, Nob Hill)","In 1945 the Fairmont hosted the United Nations Conference on International Organization as delegates arrived to draft a charter for the organization. The U.S. Secretary of State, Edward Stettinus drafted the charter in the hotel's Garden Room.",Twentieth Century Fox,Twentieth Century Fox,Henry King,Kathryn Scola,"Tyrone Power, Alice Faye"
33,Alexander's Ragtime Band,1938,San Francisco Bay,,Twentieth Century Fox,Twentieth Century Fox,Henry King,Kathryn Scola,"Tyrone Power, Alice Faye"
34,All About Eve,1950,Curran Theater (445 Geary Street),Called the Shubert Theatre in the film. ,Twentieth Century Fox,Twentieth Century Fox,Joseph L. Mankiewicz,Joseph L. Mankiewicz,"Bette Davis, Anne Baxter"
35,Americana,2015,Jackson St. at Spruce,,Sutro Films LLC,,Zachary Shedd,Zachary Shedd,"Kelli Garner, Jack Davenport, Peter Coyote"
36,Americana,2015,20th St and Illinois/Faxon St. and Kenwood/Glenbrook at Mt. Springs,,Sutro Films LLC,,Zachary Shedd,Zachary Shedd,"Kelli Garner, Jack Davenport, Peter Coyote"
37,Americana,2015,St. Francis Episcopal Church (399 San Fernando Way),,Sutro Films LLC,,Zachary Shedd,Zachary Shedd,"Kelli Garner, Jack Davenport, Peter Coyote"
38,Americana,2015,Romolo Place @ Fresno St.,,Sutro Films LLC,,Zachary Shedd,Zachary Shedd,"Kelli Garner, Jack Davenport, Peter Coyote"
39,Americana,2015,Palace of Fine Arts (3301 Lyon Street),,Sutro Films LLC,,Zachary Shedd,Zachary Shedd,"Kelli Garner, Jack Davenport, Peter Coyote"
40,Americana,2015,John Shelley Drive John McLaren Park,,Sutro Films LLC,,Zachary Shedd,Zachary Shedd,"Kelli Garner, Jack Davenport, Peter Coyote"
41,Americana,2015,Treasure Island,,Sutro Films LLC,,Zachary Shedd,Zachary Shedd,"Kelli Garner, Jack Davenport, Peter Coyote"
42,Americana,2015,The San Francisco School (300 Gavin St.),,Sutro Films LLC,,Zachary Shedd,Zachary Shedd,"Kelli Garner, Jack Davenport, Peter Coyote"
43,Americana,2015,33 Spruce St,,Sutro Films LLC,,Zachary Shedd,Zachary Shedd,"Kelli Garner, Jack Davenport, Peter Coyote"
44,Americana,2015,Coi Restaurant (373 Broadway),,Sutro Films LLC,,Zachary Shedd,Zachary Shedd,"Kelli Garner, Jack Davenport, Peter Coyote"
45,Americana,2015,Foreign Cinema (2534 Mission),,Sutro Films LLC,,Zachary Shedd,Zachary Shedd,"Kelli Garner, Jack Davenport, Peter Coyote"
46,Americana,2015,Bernal Heights Park,,Sutro Films LLC,,Zachary Shedd,Zachary Shedd,"Kelli Garner, Jack Davenport, Peter Coyote"
47,Americana,2015,679 Madrid St,,Sutro Films LLC,,Zachary Shedd,Zachary Shedd,"Kelli Garner, Jack Davenport, Peter Coyote"
48,Americana,2015,Roxie Theater (3117 16th St.),,Sutro Films LLC,,Zachary Shedd,Zachary Shedd,"Kelli Garner, Jack Davenport, Peter Coyote"
49,Americana,2015,Variety Preview Room (582 Market St.),,Sutro Films LLC,,Zachary Shedd,Zachary Shedd,"Kelli Garner, Jack Davenport, Peter Coyote"
50,Americana,2015,Laguna Honda Hospital; 375 Laguna Honda Blvd.,,Sutro Films LLC,,Zachary Shedd,Zachary Shedd,"Kelli Garner, Jack Davenport, Peter Coyote"
51,Americana,2015,3232 Jackson Ave.,,Sutro Films LLC,,Zachary Shedd,Zachary Shedd,"Kelli Garner, Jack Davenport, Peter Coyote"
52,American Graffiti,1973,Mel's Drive-In (Corner South Van Ness & Mission St.),This restaurant location was demolished; however another Mel's was reopened in 1986 on 3355 Geary Blvd. ,Universal Pictures,Universal Pictures,George Lucas,George Lucas,Richard Dreyfuss
53,American Graffiti,1973,3355 Geary Blvd.,,Universal Pictures,Universal Pictures,George Lucas,George Lucas,Richard Dreyfuss
54,American Yearbook,2004,,,All Planet Studios,N/A,Brian Ging,Brian Ging,"Nick Tagas, Jon Carlo Alvarez, Giovannie Pico"
55,A Night Full of Rain,1978,"Fairmont Hotel (950 Mason Street, Nob Hill)","In 1945 the Fairmont hosted the United Nations Conference on International Organization as delegates arrived to draft a charter for the organization. The U.S. Secretary of State, Edward Stettinus drafted the charter in the hotel's Garden Room.",Liberty Film,Warner Bros.,Lina Wertmuller,Lina Wertmuller,"Candice Bergen, Giancarlo Gianni"
56,A Night Full of Rain,1978,Broadway (North Beach),,Liberty Film,Warner Bros.,Lina Wertmuller,Lina Wertmuller,"Candice Bergen, Giancarlo Gianni"
57,A Night Full of Rain,1978,San Francisco Chronicle (901 Mission Street at 15th Street),The San Francisco Zodiac Killer of the late 1960s sent his notes and letters to the Chronicle's offices.,Liberty Film,Warner Bros.,Lina Wertmuller,Lina Wertmuller,"Candice Bergen, Giancarlo Gianni"
58,A Night Full of Rain,1978,Embarcadero Freeway,"Embarcadero Freeway, which was featured in the film was demolished in 1989 because of structural damage from the 1989 Loma Prieta Earthquake)",Liberty Film,Warner Bros.,Lina Wertmuller,Lina Wertmuller,"Candice Bergen, Giancarlo Gianni"
59,Another 48 Hours,1990,,,Eddie Murphy Productions,Paramount Pictures,Walter Hill,Walter Hill,"Eddie Murphy, Nick Nolte"
60,Ant-Man,2015,Lombard at Hyde,,"PYM Particles Productions, LLC",Walt Disney Studios Motion Pictures,Peyton Reed,Gabriel Ferrari ,"Michael Douglas, Paul Rudd"
61,Ant-Man,2015,Intersection of Broadway at Kearney,Driving shots,"PYM Particles Productions, LLC",Walt Disney Studios Motion Pictures,Peyton Reed,Gabriel Ferrari ,"Michael Douglas, Paul Rudd"
62,Ant-Man,2015,Conzelman Rd at McCollough Rd and down Concelman Rd.,Aerial shots,"PYM Particles Productions, LLC",Walt Disney Studios Motion Pictures,Peyton Reed,Gabriel Ferrari ,"Michael Douglas, Paul Rudd"
63,Ant-Man,2015,California between Kearney and Davis,Driving shots,"PYM Particles Productions, LLC",Walt Disney Studios Motion Pictures,Peyton Reed,Gabriel Ferrari ,"Michael Douglas, Paul Rudd"
64,Ant-Man,2015,Broadway between Powell and Davis,Driving shots,"PYM Particles Productions, LLC",Walt Disney Studios Motion Pictures,Peyton Reed,Gabriel Ferrari ,"Michael Douglas, Paul Rudd"
65,Ant-Man,2015,Grant between Bush and Broadway,Driving shots,"PYM Particles Productions, LLC",Walt Disney Studios Motion Pictures,Peyton Reed,Gabriel Ferrari ,"Michael Douglas, Paul Rudd"
66,Ant-Man,2015,Intersection of California at Polk,Driving shots,"PYM Particles Productions, LLC",Walt Disney Studios Motion Pictures,Peyton Reed,Gabriel Ferrari ,"Michael Douglas, Paul Rudd"
67,Ant-Man,2015,Market between Stuart and Van Ness,Driving shots,"PYM Particles Productions, LLC",Walt Disney Studios Motion Pictures,Peyton Reed,Gabriel Ferrari ,"Michael Douglas, Paul Rudd"
68,Ant-Man,2015,Pine between Kearney and Davis,Driving shots,"PYM Particles Productions, LLC",Walt Disney Studios Motion Pictures,Peyton Reed,Gabriel Ferrari ,"Michael Douglas, Paul Rudd"
69,Ant-Man,2015,Columbus between Bay and Washington,Driving shots,"PYM Particles Productions, LLC",Walt Disney Studios Motion Pictures,Peyton Reed,Gabriel Ferrari ,"Michael Douglas, Paul Rudd"
70,Ant-Man,2015,601 Buena Vista Ave West at Java St.,,"PYM Particles Productions, LLC",Walt Disney Studios Motion Pictures,Peyton Reed,Gabriel Ferrari ,"Michael Douglas, Paul Rudd"
71,Ant-Man,2015,"Treasure Lisland, Building #1, Ave of the Palms",Aerial and exterior shots,"PYM Particles Productions, LLC",Walt Disney Studios Motion Pictures,Peyton Reed,Gabriel Ferrari ,"Michael Douglas, Paul Rudd"
72,Ant-Man,2015,420 Jones St. at Ellis St.,,"PYM Particles Productions, LLC",Walt Disney Studios Motion Pictures,Peyton Reed,Gabriel Ferrari ,"Michael Douglas, Paul Rudd"
73,Around the Fire,1998,Ocean Beach,"On Jan. 25, 1878, the King Philip ship crashed in Ocean Beach. Occassionally, the ship's wreckage may be found on the beach-- most recently it was seen in 2007. ",Paradigm Studio,Ardustry Home Entertainment,John Jacobsen,John Comerford,Tara Reid
74,A Smile Like Yours,1997,75 California Street,,Paramount Pictures,Paramount Pictures,Keith Samples,Keith Samples & Kevin Meyer,"Greg Kinnear, Lauren Holly, Joan Cusack"
75,A Smile Like Yours ,1997,Grace Cathedral Episcopal Church (1100 California Street),Grace Cathedral Episcopal Church is the West Coast's largest Episcopalian cathedral.,Paramount Pictures,Paramount Pictures,Keith Samples,Keith Samples & Kevin Meyer,"Greg Kinnear, Lauren Holly, Joan Cusack"
76,A Smile Like Yours ,1997,Hills Brothers Plaza (Embarcadero at Harrison Street),,Paramount Pictures,Paramount Pictures,Keith Samples,Keith Samples & Kevin Meyer,"Greg Kinnear, Lauren Holly, Joan Cusack"
77,A Smile Like Yours ,1997,San Francisco International Airport,SFO has a museum dedicated to aviation history. ,Paramount Pictures,Paramount Pictures,Keith Samples,Keith Samples & Kevin Meyer,"Greg Kinnear, Lauren Holly, Joan Cusack"
78,Attack of the Killer Tomatoes,1978,Hyde Street Cable Car,SF Cable Cars are the only moving National Historical Landmark.,Four Square Productions,NAI Entertainment,John DeBello,John DeBello,David Miller
79,A View to a Kill,1985,Van Ness Avenue,,Metro-Goldwyn Mayer,MGM/UA Entertainment Company,John Glen,Richard Maibaum,"Roger Moore, Christopher Walken"
80,A View to a Kill,1985,"Burger Island (901 3rd Street, China Basin)",,Metro-Goldwyn Mayer,MGM/UA Entertainment Company,John Glen,Richard Maibaum,"Roger Moore, Christopher Walken"
81,A View to a Kill,1985,Chinatown,"First established in the mid-19th Century, SF's Chinatown is the oldest and largest Chinatown in the US.",Metro-Goldwyn Mayer,MGM/UA Entertainment Company,John Glen,Richard Maibaum,"Roger Moore, Christopher Walken"
82,A View to a Kill,1985,City Hall,"The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building.",Metro-Goldwyn Mayer,MGM/UA Entertainment Company,John Glen,Richard Maibaum,"Roger Moore, Christopher Walken"
83,A View to a Kill,1985,Potrero Hill,The crookedest street in San Fransisco is actually Potrero Hill's Vermont Street between 20th St & 22nd St.,Metro-Goldwyn Mayer,MGM/UA Entertainment Company,John Glen,Richard Maibaum,"Roger Moore, Christopher Walken"
84,A View to a Kill,1985,Embarcadero Freeway,"Embarcadero Freeway, which was featured in the film, was demolished in 1989 because of structural damage from the 1989 Loma Prieta Earthquake)",Metro-Goldwyn Mayer,MGM/UA Entertainment Company,John Glen,Richard Maibaum,"Roger Moore, Christopher Walken"
85,A View to a Kill,1985,Golden Gate Bridge,"With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.",Metro-Goldwyn Mayer,MGM/UA Entertainment Company,John Glen,Richard Maibaum,"Roger Moore, Christopher Walken"
86,A View to a Kill,1985,"Lefty O' Doul Drawbridge/ 3rd Street Bridge (3rd Street, China Basin)","This is SF's only drawbridge, and was named after Francis Joseph ""Lefty"" O'Doul, a local baseball hero.",Metro-Goldwyn Mayer,MGM/UA Entertainment Company,John Glen,Richard Maibaum,"Roger Moore, Christopher Walken"
87,A View to a Kill,1985,Port of San Francisco ,,Metro-Goldwyn Mayer,MGM/UA Entertainment Company,John Glen,Richard Maibaum,"Roger Moore, Christopher Walken"
88,A View to a Kill,1985,City Hall,"The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building.",Metro-Goldwyn Mayer,MGM/UA Entertainment Company,John Glen,Richard Maibaum,"Roger Moore, Christopher Walken"
89,A View to a Kill,1985,Taylor and Jefferson Streets (Fisherman's Wharf),,Metro-Goldwyn Mayer,MGM/UA Entertainment Company,John Glen,Richard Maibaum,"Roger Moore, Christopher Walken"
90,Babies,2010,,,Canal+,Focus Features,Thomas Balmes,Thomas Balmes,"Bayar, Hattie, Mari"
91,Barbary Coast,1935,,,The Samuel Goldwyn Company,United Artists,Howard Hawks,Ben Hecht,"Mariam Hopkins, Edward G. Robinson"
92,Basic Instinct,1992,Transbay Terminal (Mission Street at 1st Street),"Built in 1939, the Terminal linked San Francisco, the East Bay, and Sacramento by rail for the first time.",Carolco Pictures,TriStar Pictures,Paul Verhoeven,Joe Eszterhas,"Michael Douglas, Sharon Stone, George Dzundza"
93,Basic Instinct,1992,"Tosca Café (242 Columbus Avenue, North Beach)",,Carolco Pictures,TriStar Pictures,Paul Verhoeven,Joe Eszterhas,"Michael Douglas, Sharon Stone, George Dzundza"
94,Basic Instinct,1992,"Steinhart Aquarium (California Academy of Sciences, Golden Gate Park)","The Steinhart Aquarium is home to over 38,000 animals, which represent more than 900 species. ",Carolco Pictures,TriStar Pictures,Paul Verhoeven,Joe Eszterhas,"Michael Douglas, Sharon Stone, George Dzundza"
95,Basic Instinct,1992,Raw Hide II (280 Seventh Street),,Carolco Pictures,TriStar Pictures,Paul Verhoeven,Joe Eszterhas,"Michael Douglas, Sharon Stone, George Dzundza"
96,Basic Instinct,1992,Pier 7 (The Embarcadero),,Carolco Pictures,TriStar Pictures,Paul Verhoeven,Joe Eszterhas,"Michael Douglas, Sharon Stone, George Dzundza"
97,Basic Instinct,1992,Kearney Street (Telegraph Hill),,Carolco Pictures,TriStar Pictures,Paul Verhoeven,Joe Eszterhas,"Michael Douglas, Sharon Stone, George Dzundza"
98,Basic Instinct,1992,Hall of Justice (850 Bryant Street),,Carolco Pictures,TriStar Pictures,Paul Verhoeven,Joe Eszterhas,"Michael Douglas, Sharon Stone, George Dzundza"
99,Basic Instinct,1992,2930 Vallejo Street,,Carolco Pictures,TriStar Pictures,Paul Verhoeven,Joe Eszterhas,"Michael Douglas, Sharon Stone, George Dzundza"
100,Basic Instinct,1992,Chinatown,"First established in the mid-19th Century, SF's Chinatown is the oldest and largest Chinatown in the US.",Carolco Pictures,TriStar Pictures,Paul Verhoeven,Joe Eszterhas,"Michael Douglas, Sharon Stone, George Dzundza"
101,Basic Instinct,1992,Gibb Street (Chinatown),,Carolco Pictures,TriStar Pictures,Paul Verhoeven,Joe Eszterhas,"Michael Douglas, Sharon Stone, George Dzundza"
102,Basic Instinct,1992,1158-70 Montgomery Street,,Carolco Pictures,TriStar Pictures,Paul Verhoeven,Joe Eszterhas,"Michael Douglas, Sharon Stone, George Dzundza"
103,Basic Instinct,1992,2104 Broadway,,Carolco Pictures,TriStar Pictures,Paul Verhoeven,Joe Eszterhas,"Michael Douglas, Sharon Stone, George Dzundza"
104,Basic Instinct,1992,Yuerba Buena Center for the Arts,,Carolco Pictures,TriStar Pictures,Paul Verhoeven,Joe Eszterhas,"Michael Douglas, Sharon Stone, George Dzundza"
105,Beaches,1988,,,Silver Screen Partners IV,Columbia Broadcasting System,Garry Marshall,Mary Agnes Donoghue,"Bette Midler, Barbara Hershey"
106,Bedazzled,2000,"Washington Square Park (Filbert, between Stockton and Powell)",,Twentieth Century Fox,Twentieth Century Fox,Harold Ramis,Harold Ramis,"Brendan Fraser, Elizabeth Hurley"
107,Bedazzled,2000,1155 Filbert Street at Hyde,,Twentieth Century Fox,Twentieth Century Fox,Harold Ramis,Harold Ramis,"Brendan Fraser, Elizabeth Hurley"
108,Bedazzled,2000,Vaillancourt Fountain (Justin Herman Plaza),"Installed in 1975, the Vaillancourt Fountain is officially titled, ""Qu̩bec Libre!"". The night before the sculpture's inauguration, artist Armand Vaillancourt inscribed ""Qu̩bec libre!"" in red letters on the sculpture. The next day when he noticed that the note had been erased, Vaillancourt jumped on the statue to reinscribe his message. ",Twentieth Century Fox,Twentieth Century Fox,Harold Ramis,Harold Ramis,"Brendan Fraser, Elizabeth Hurley"
109,Bedazzled,2000,Montgomery & Market Streets,,Twentieth Century Fox,Twentieth Century Fox,Harold Ramis,Harold Ramis,"Brendan Fraser, Elizabeth Hurley"
110,Bedazzled,2000,City Hall,"The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building.",Twentieth Century Fox,Twentieth Century Fox,Harold Ramis,Harold Ramis,"Brendan Fraser, Elizabeth Hurley"
111,Bee Season,2005,,,Bee Season Productions,Fox Searchlight Pictures,Scott McGehee,David Siegel,"Richard Gere, Juliette Binoche"
112,Bicentennial Man,1999,City Hall,"The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building.",1492 Pictures,Buena Vista Pictures,Chris Columbus,Nicholas Kazan,Robin Williams
113,Bicentennial Man,1999,Golden Gate Bridge,"With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.",1492 Pictures,Buena Vista Pictures,Chris Columbus,Nicholas Kazan,Robin Williams
114,Bicentennial Man,1999,Treasure Island,"An artificial island, Treasure Island was created for the 1939 Golden Gate International Exposition, and is named after the novel by Robert Louis Stevenson, a one-time San Francisco resident.",1492 Pictures,Buena Vista Pictures,Chris Columbus,Nicholas Kazan,Robin Williams
115,Bicentennial Man,1999,"Postcard Row (Alamo Square, Hayes Valley)",The 6 Victorian homes across from Alamo Square Park are among the few Victorians to survive the Great Fire.,1492 Pictures,Buena Vista Pictures,Chris Columbus,Nicholas Kazan,Robin Williams
116,Bicentennial Man,1999,Grace Cathedral Episcopal Church (1100 California Street),Grace Cathedral Episcopal Church is the West Coast's largest Episcopalian cathedral.,1492 Pictures,Buena Vista Pictures,Chris Columbus,Nicholas Kazan,Robin Williams
117,Big Eyes,2014,Nobles Alley,,Blink & Wink Productions,Weinstein Company,Tim Burton,Scott Alexander,"Amy Adams, Krysten Ritter, Christoph Waltz"
118,Big Eyes,2014,Caffé Trieste,,Blink & Wink Productions,Weinstein Company,Tim Burton,Scott Alexander,"Amy Adams, Krysten Ritter, Christoph Waltz"
119,Big Eyes,2014,Palace of Fine Arts (3301 Lyon Street),,Blink & Wink Productions,Weinstein Company,Tim Burton,Scott Alexander,"Amy Adams, Krysten Ritter, Christoph Waltz"
120,Big Eyes,2014,1101 Filbert St. ,,Blink & Wink Productions,Weinstein Company,Tim Burton,Scott Alexander,"Amy Adams, Krysten Ritter, Christoph Waltz"
121,Big Eyes,2014,Saints Peter & Paul Church,,Blink & Wink Productions,Weinstein Company,Tim Burton,Scott Alexander,"Amy Adams, Krysten Ritter, Christoph Waltz"
122,Big Eyes,2014,Green St. & Grant Ave.,,Blink & Wink Productions,Weinstein Company,Tim Burton,Scott Alexander,"Amy Adams, Krysten Ritter, Christoph Waltz"
123,Big Eyes,2014,Filbert & Leavenworth Streets,,Blink & Wink Productions,Weinstein Company,Tim Burton,Scott Alexander,"Amy Adams, Krysten Ritter, Christoph Waltz"
124,Big Eyes,2014,Pine St. & Grant,,Blink & Wink Productions,Weinstein Company,Tim Burton,Scott Alexander,"Amy Adams, Krysten Ritter, Christoph Waltz"
125,Big Eyes,2014,Way Faire Inn on Leidsdorff,,Blink & Wink Productions,Weinstein Company,Tim Burton,Scott Alexander,"Amy Adams, Krysten Ritter, Christoph Waltz"
126,Big Eyes,2014,Harry's Bar on Fillmore,,Blink & Wink Productions,Weinstein Company,Tim Burton,Scott Alexander,"Amy Adams, Krysten Ritter, Christoph Waltz"
127,Big Sur,2013,"Tosca Café (242 Columbus Avenue, North Beach)",,3311 Productions,,Micael Polish,Jack Kerouac & Michael Polish,"Josh Lucas, Kate Bosworth, Stana Katic"
128,Big Touble in Little China,1986,,,Twentieth Century Fox,Twentieth Century Fox,John Carpenter,Gary Goldman,"Kurt Russell, Kim Catrall"
129,Birdman of Alcatraz,1962,Alcatraz Island,Alcatraz Island was a military fort before it became a prison.,Norma Productions,United Artists,John Frankenheimer,Guy Trosper,"Burt Lancaster, Karl Maden"
130,Birdman of Alcatraz,1962,Pier 43 1/2,,Norma Productions,United Artists,John Frankenheimer,Guy Trosper,"Burt Lancaster, Karl Maden"
131,Blue Jasmine,2013,Real Guitars,,Perdido Productions,Sony Pictures Classics,Woody Allen,Woody Allen,"Cate Blanchett, Alec Baldwin, Peter Sarsgaard"
132,Blue Jasmine,2013,5546 Geary Ave,,Perdido Productions,Sony Pictures Classics,Woody Allen,Woody Allen,"Cate Blanchett, Alec Baldwin, Peter Sarsgaard"
133,Blue Jasmine,2013,Jones & Pacific,,Perdido Productions,Sony Pictures Classics,Woody Allen,Woody Allen,"Cate Blanchett, Alec Baldwin, Peter Sarsgaard"
134,Blue Jasmine,2013,Pacific & Divisadero,,Perdido Productions,Sony Pictures Classics,Woody Allen,Woody Allen,"Cate Blanchett, Alec Baldwin, Peter Sarsgaard"
135,Blue Jasmine,2013,Lombard & Hyde,,Perdido Productions,Sony Pictures Classics,Woody Allen,Woody Allen,"Cate Blanchett, Alec Baldwin, Peter Sarsgaard"
136,Blue Jasmine,2013,2898 Broadway,,Perdido Productions,Sony Pictures Classics,Woody Allen,Woody Allen,"Cate Blanchett, Alec Baldwin, Peter Sarsgaard"
137,Blue Jasmine,2013,Motel Capri,,Perdido Productions,Sony Pictures Classics,Woody Allen,Woody Allen,"Cate Blanchett, Alec Baldwin, Peter Sarsgaard"
138,Blue Jasmine,2013,Marina Green,,Perdido Productions,Sony Pictures Classics,Woody Allen,Woody Allen,"Cate Blanchett, Alec Baldwin, Peter Sarsgaard"
139,Blue Jasmine,2013,Ocean Beach at Lincoln,,Perdido Productions,Sony Pictures Classics,Woody Allen,Woody Allen,"Cate Blanchett, Alec Baldwin, Peter Sarsgaard"
